 1000 3
 -21.0636 22.2396 0.5
 -21.0387 22.2417 0.5
 -21.0139 22.245 0.5
 -20.9894 22.2498 0.5
 -20.9647 22.2539 0.5
 -20.9401 22.258 0.5
 -20.9154 22.2621 0.5
 -20.8907 22.2662 0.5
 -20.8661 22.2703 0.5
 -20.8414 22.2743 0.5
 -20.8167 22.2784 0.5
 -20.7921 22.2824 0.5
 -20.7674 22.2865 0.5
 -20.7427 22.2905 0.5
 -20.7181 22.2946 0.5
 -20.6934 22.2986 0.5
 -20.6684 22.3004 0.5
 -20.6435 22.3019 0.5
 -20.6185 22.3033 0.5
 -20.5936 22.3045 0.5
 -20.5686 22.3055 0.5
 -20.5436 22.3064 0.5
 -20.5186 22.3071 0.5
 -20.4936 22.3076 0.5
 -20.4686 22.3079 0.5
 -20.4436 22.308 0.5
 -20.4186 22.308 0.5
 -20.3937 22.3062 0.5
 -20.3687 22.305 0.5
 -20.3437 22.3045 0.5
 -20.3187 22.3045 0.5
 -20.2938 22.3066 0.5
 -20.2689 22.3084 0.5
 -20.2439 22.3101 0.5
 -20.219 22.3115 0.5
 -20.194 22.3114 0.5
 -20.169 22.3117 0.5
 -20.144 22.3136 0.5
 -20.1191 22.3154 0.5
 -20.0941 22.317 0.5
 -20.0692 22.3185 0.5
 -20.0442 22.3199 0.5
 -20.0193 22.3212 0.5
 -19.9943 22.3224 0.5
 -19.9693 22.3235 0.5
 -19.9443 22.3246 0.5
 -19.9194 22.3256 0.5
 -19.8944 22.3265 0.5
 -19.8694 22.3274 0.5
 -19.8444 22.3283 0.5
 -19.8194 22.3291 0.5
 -19.7944 22.3298 0.5
 -19.7694 22.3306 0.5
 -19.7445 22.3313 0.5
 -19.7195 22.3321 0.5
 -19.6945 22.3328 0.5
 -19.6695 22.3335 0.5
 -19.6445 22.3336 0.5
 -19.6195 22.334 0.5
 -19.5945 22.3348 0.5
 -19.5695 22.3359 0.5
 -19.5446 22.3372 0.5
 -19.5196 22.3388 0.5
 -19.4947 22.3405 0.5
 -19.4697 22.3424 0.5
 -19.4448 22.3445 0.5
 -19.4199 22.3467 0.5
 -19.395 22.349 0.5
 -19.3702 22.3514 0.5
 -19.3453 22.3538 0.5
 -19.3204 22.3562 0.5
 -19.2955 22.3586 0.5
 -19.2706 22.3609 0.5
 -19.2457 22.3633 0.5
 -19.2208 22.3657 0.5
 -19.1959 22.3681 0.5
 -19.1711 22.3706 0.5
 -19.1462 22.3731 0.5
 -19.1213 22.3756 0.5
 -19.0965 22.3781 0.5
 -19.0716 22.3807 0.5
 -19.0467 22.3833 0.5
 -19.0219 22.3859 0.5
 -18.997 22.3886 0.5
 -18.9721 22.3913 0.5
 -18.9473 22.394 0.5
 -18.9224 22.3967 0.5
 -18.8976 22.3994 0.5
 -18.8726 22.4001 0.5
 -18.8476 22.4002 0.5
 -18.8226 22.4002 0.5
 -18.7976 22.4004 0.5
 -18.7726 22.4005 0.5
 -18.7476 22.4007 0.5
 -18.7226 22.4008 0.5
 -18.6976 22.4009 0.5
 -18.6726 22.401 0.5
 -18.6476 22.4011 0.5
 -18.6226 22.4012 0.5
 -18.5976 22.4013 0.5
 -18.5726 22.4014 0.5
 -18.5476 22.4014 0.5
 -18.5226 22.4015 0.5
 -18.4976 22.4016 0.5
 -18.4726 22.4017 0.5
 -18.4476 22.4017 0.5
 -18.4226 22.4018 0.5
 -18.3976 22.4019 0.5
 -18.3726 22.4019 0.5
 -18.3476 22.402 0.5
 -18.3226 22.402 0.5
 -18.2976 22.4021 0.5
 -18.2726 22.4021 0.5
 -18.2476 22.4022 0.5
 -18.2226 22.4022 0.5
 -18.1976 22.4022 0.5
 -18.1726 22.4023 0.5
 -18.1476 22.4023 0.5
 -18.1226 22.4024 0.5
 -18.0976 22.4024 0.5
 -18.0726 22.4024 0.5
 -18.0476 22.4025 0.5
 -18.0226 22.4025 0.5
 -17.9976 22.4025 0.5
 -17.9726 22.4026 0.5
 -17.9476 22.4026 0.5
 -17.9226 22.4026 0.5
 -17.8976 22.4027 0.5
 -17.8726 22.4027 0.5
 -17.8476 22.4027 0.5
 -17.8226 22.4027 0.5
 -17.7976 22.4028 0.5
 -17.7726 22.4028 0.5
 -17.7476 22.4028 0.5
 -17.7226 22.4028 0.5
 -17.6976 22.4028 0.5
 -17.6726 22.4029 0.5
 -17.6476 22.4029 0.5
 -17.6226 22.4029 0.5
 -17.5976 22.4029 0.5
 -17.5726 22.4029 0.5
 -17.5476 22.4029 0.5
 -17.5226 22.403 0.5
 -17.4976 22.403 0.5
 -17.4726 22.403 0.5
 -17.4476 22.403 0.5
 -17.4226 22.403 0.5
 -17.3976 22.403 0.5
 -17.3726 22.4031 0.5
 -17.3476 22.4031 0.5
 -17.3226 22.4031 0.5
 -17.2976 22.4031 0.5
 -17.2726 22.4031 0.5
 -17.2476 22.4031 0.5
 -17.2226 22.4031 0.5
 -17.1976 22.4031 0.5
 -17.1726 22.4031 0.5
 -17.1476 22.4032 0.5
 -17.1226 22.4032 0.5
 -17.0976 22.4032 0.5
 -17.0726 22.4032 0.5
 -17.0476 22.4032 0.5
 -17.0226 22.4032 0.5
 -16.9976 22.4032 0.5
 -16.9726 22.4032 0.5
 -16.9476 22.4032 0.5
 -16.9226 22.4032 0.5
 -16.8976 22.4032 0.5
 -16.8726 22.4032 0.5
 -16.8476 22.4032 0.5
 -16.8226 22.4033 0.5
 -16.7976 22.4033 0.5
 -16.7726 22.4033 0.5
 -16.7476 22.4033 0.5
 -16.7226 22.4033 0.5
 -16.6976 22.4033 0.5
 -16.6726 22.4033 0.5
 -16.6476 22.4033 0.5
 -16.6226 22.4033 0.5
 -16.5976 22.4033 0.5
 -16.5726 22.4033 0.5
 -16.5476 22.4033 0.5
 -16.5226 22.4033 0.5
 -16.4976 22.4033 0.5
 -16.4726 22.4033 0.5
 -16.4476 22.4033 0.5
 -16.4226 22.4033 0.5
 -16.3976 22.4033 0.5
 -16.3726 22.4033 0.5
 -16.3476 22.4033 0.5
 -16.3226 22.4033 0.5
 -16.2976 22.4034 0.5
 -16.2726 22.4034 0.5
 -16.2476 22.4034 0.5
 -16.2226 22.4034 0.5
 -16.1976 22.4034 0.5
 -16.1726 22.4034 0.5
 -16.1476 22.4034 0.5
 -16.1226 22.4034 0.5
 -16.0976 22.4034 0.5
 -16.0726 22.4034 0.5
 -16.0476 22.4034 0.5
 -16.0226 22.4034 0.5
 -15.9976 22.4034 0.5
 -15.9726 22.4034 0.5
 -15.9476 22.4034 0.5
 -15.9226 22.4034 0.5
 -15.8976 22.4034 0.5
 -15.8726 22.4034 0.5
 -15.8476 22.4034 0.5
 -15.8226 22.4034 0.5
 -15.7976 22.4034 0.5
 -15.7726 22.4034 0.5
 -15.7476 22.4034 0.5
 -15.7226 22.4034 0.5
 -15.6976 22.4034 0.5
 -15.6726 22.4034 0.5
 -15.6476 22.4034 0.5
 -15.6226 22.4034 0.5
 -15.5976 22.4034 0.5
 -15.5726 22.4034 0.5
 -15.5476 22.4034 0.5
 -15.5226 22.4034 0.5
 -15.4976 22.4034 0.5
 -15.4726 22.4034 0.5
 -15.4476 22.4034 0.5
 -15.4226 22.4034 0.5
 -15.3976 22.4034 0.5
 -15.3726 22.4034 0.5
 -15.3476 22.4034 0.5
 -15.3226 22.4034 0.5
 -15.2976 22.4034 0.5
 -15.2726 22.4034 0.5
 -15.2476 22.4034 0.5
 -15.2226 22.4034 0.5
 -15.1976 22.4034 0.5
 -15.1726 22.4034 0.5
 -15.1476 22.4034 0.5
 -15.1226 22.4034 0.5
 -15.0976 22.4034 0.5
 -15.0726 22.4034 0.5
 -15.0476 22.4034 0.5
 -15.0226 22.4034 0.5
 -14.9976 22.4034 0.5
 -14.9726 22.4034 0.5
 -14.9476 22.4034 0.5
 -14.9226 22.4034 0.5
 -14.8976 22.4034 0.5
 -14.8726 22.4034 0.5
 -14.8476 22.4034 0.5
 -14.8226 22.4034 0.5
 -14.7976 22.4034 0.5
 -14.7726 22.4034 0.5
 -14.7476 22.4034 0.5
 -14.7226 22.4034 0.5
 -14.6976 22.4034 0.5
 -14.6726 22.4034 0.5
 -14.6476 22.4034 0.5
 -14.6226 22.4034 0.5
 -14.5976 22.4034 0.5
 -14.5726 22.4034 0.5
 -14.5476 22.4034 0.5
 -14.5226 22.4034 0.5
 -14.4976 22.4034 0.5
 -14.4726 22.4034 0.5
 -14.4476 22.4034 0.5
 -14.4226 22.4034 0.5
 -14.3976 22.4034 0.5
 -14.3726 22.4034 0.5
 -14.3476 22.4034 0.5
 -14.3226 22.4034 0.5
 -14.2976 22.4034 0.5
 -14.2726 22.4034 0.5
 -14.2476 22.4034 0.5
 -14.2226 22.4034 0.5
 -14.1976 22.4034 0.5
 -14.1726 22.4034 0.5
 -14.1476 22.4034 0.5
 -14.1226 22.4034 0.5
 -14.0976 22.4034 0.5
 -14.0726 22.4034 0.5
 -14.0476 22.4034 0.5
 -14.0226 22.4034 0.5
 -13.9976 22.4034 0.5
 -13.9726 22.4034 0.5
 -13.9476 22.4034 0.5
 -13.9226 22.4034 0.5
 -13.8976 22.4034 0.5
 -13.8726 22.4034 0.5
 -13.8476 22.4034 0.5
 -13.8226 22.4034 0.5
 -13.7976 22.4034 0.5
 -13.7726 22.4034 0.5
 -13.7476 22.4034 0.5
 -13.7226 22.4034 0.5
 -13.6976 22.4034 0.5
 -13.6726 22.4034 0.5
 -13.6476 22.4034 0.5
 -13.6226 22.4034 0.5
 -13.5976 22.4034 0.5
 -13.5726 22.4034 0.5
 -13.5476 22.4034 0.5
 -13.5226 22.4034 0.5
 -13.4976 22.4034 0.5
 -13.4726 22.4034 0.5
 -13.4476 22.4034 0.5
 -13.4226 22.4034 0.5
 -13.3976 22.4034 0.5
 -13.3726 22.4034 0.5
 -13.3476 22.4034 0.5
 -13.3226 22.4034 0.5
 -13.2976 22.4034 0.5
 -13.2726 22.4034 0.5
 -13.2476 22.4034 0.5
 -13.2226 22.4034 0.5
 -13.1976 22.4034 0.5
 -13.1726 22.4034 0.5
 -13.1476 22.4034 0.5
 -13.1226 22.4034 0.5
 -13.0976 22.4034 0.5
 -13.0726 22.4034 0.5
 -13.0476 22.4034 0.5
 -13.0226 22.4034 0.5
 -12.9976 22.4034 0.5
 -12.9726 22.4034 0.5
 -12.9476 22.4034 0.5
 -12.9226 22.4034 0.5
 -12.8976 22.4034 0.5
 -12.8726 22.4034 0.5
 -12.8476 22.4034 0.5
 -12.8226 22.4034 0.5
 -12.7976 22.4034 0.5
 -12.7726 22.4034 0.5
 -12.7476 22.4034 0.5
 -12.7226 22.4034 0.5
 -12.6976 22.4034 0.5
 -12.6726 22.4034 0.5
 -12.6476 22.4034 0.5
 -12.6226 22.4034 0.5
 -12.5976 22.4034 0.5
 -12.5726 22.4034 0.5
 -12.5476 22.4034 0.5
 -12.5226 22.4034 0.5
 -12.4976 22.4034 0.5
 -12.4726 22.4034 0.5
 -12.4476 22.4034 0.5
 -12.4226 22.4034 0.5
 -12.3976 22.4034 0.5
 -12.3726 22.4034 0.5
 -12.3476 22.4034 0.5
 -12.3226 22.4034 0.5
 -12.2976 22.4034 0.5
 -12.2726 22.4034 0.5
 -12.2476 22.4034 0.5
 -12.2226 22.4034 0.5
 -12.1976 22.4034 0.5
 -12.1726 22.4034 0.5
 -12.1476 22.4034 0.5
 -12.1226 22.4034 0.5
 -12.0976 22.4034 0.5
 -12.0726 22.4034 0.5
 -12.0476 22.4034 0.5
 -12.0226 22.4034 0.5
 -11.9976 22.4034 0.5
 -11.9726 22.4034 0.5
 -11.9476 22.4034 0.5
 -11.9226 22.4034 0.5
 -11.8976 22.4034 0.5
 -11.8726 22.4034 0.5
 -11.8476 22.4034 0.5
 -11.8226 22.4034 0.5
 -11.7976 22.4034 0.5
 -11.7726 22.4034 0.5
 -11.7476 22.4034 0.5
 -11.7226 22.4034 0.5
 -11.6976 22.4034 0.5
 -11.6726 22.4034 0.5
 -11.6476 22.4034 0.5
 -11.6226 22.4034 0.5
 -11.5976 22.4034 0.5
 -11.5726 22.4034 0.5
 -11.5476 22.4034 0.5
 -11.5226 22.4034 0.5
 -11.4976 22.4034 0.5
 -11.4726 22.4034 0.5
 -11.4476 22.4034 0.5
 -11.4226 22.4034 0.5
 -11.3976 22.4034 0.5
 -11.3726 22.4034 0.5
 -11.3476 22.4034 0.5
 -11.3226 22.4034 0.5
 -11.2976 22.4034 0.5
 -11.2726 22.4034 0.5
 -11.2476 22.4034 0.5
 -11.2226 22.4034 0.5
 -11.1976 22.4034 0.5
 -11.1726 22.4034 0.5
 -11.1476 22.4034 0.5
 -11.1226 22.4034 0.5
 -11.0976 22.4034 0.5
 -11.0726 22.4034 0.5
 -11.0476 22.4034 0.5
 -11.0226 22.4034 0.5
 -10.9976 22.4034 0.5
 -10.9726 22.4034 0.5
 -10.9476 22.4034 0.5
 -10.9226 22.4034 0.5
 -10.8976 22.4034 0.5
 -10.8726 22.4034 0.5
 -10.8476 22.4034 0.5
 -10.8226 22.4034 0.5
 -10.7976 22.4034 0.5
 -10.7726 22.4034 0.5
 -10.7476 22.4034 0.5
 -10.7226 22.4034 0.5
 -10.6976 22.4034 0.5
 -10.6726 22.4034 0.5
 -10.6476 22.4034 0.5
 -10.6226 22.4034 0.5
 -10.5976 22.4034 0.5
 -10.5726 22.4034 0.5
 -10.5476 22.4034 0.5
 -10.5226 22.4034 0.5
 -10.4976 22.4034 0.5
 -10.4726 22.4034 0.5
 -10.4476 22.4034 0.5
 -10.4226 22.4034 0.5
 -10.3976 22.4034 0.5
 -10.3726 22.4034 0.5
 -10.3476 22.4034 0.5
 -10.3226 22.4034 0.5
 -10.2976 22.4034 0.5
 -10.2726 22.4034 0.5
 -10.2476 22.4034 0.5
 -10.2226 22.4034 0.5
 -10.1976 22.4034 0.5
 -10.1726 22.4034 0.5
 -10.1476 22.4034 0.5
 -10.1226 22.4034 0.5
 -10.0976 22.4034 0.5
 -10.0726 22.4034 0.5
 -10.0476 22.4034 0.5
 -10.0226 22.4034 0.5
 -9.9976 22.4034 0.5
 -9.9726 22.4034 0.5
 -9.9476 22.4034 0.5
 -9.9226 22.4034 0.5
 -9.8976 22.4034 0.5
 -9.8726 22.4034 0.5
 -9.8476 22.4034 0.5
 -9.8226 22.4034 0.5
 -9.7976 22.4034 0.5
 -9.7726 22.4034 0.5
 -9.7476 22.4034 0.5
 -9.7226 22.4034 0.5
 -9.6976 22.4034 0.5
 -9.6726 22.4034 0.5
 -9.6476 22.4034 0.5
 -9.6226 22.4034 0.5
 -9.5976 22.4034 0.5
 -9.5726 22.4034 0.5
 -9.5476 22.4034 0.5
 -9.5226 22.4034 0.5
 -9.4976 22.4034 0.5
 -9.4726 22.4034 0.5
 -9.4476 22.4034 0.5
 -9.4226 22.4034 0.5
 -9.3976 22.4034 0.5
 -9.3726 22.4034 0.5
 -9.3476 22.4034 0.5
 -9.3226 22.4034 0.5
 -9.2976 22.4034 0.5
 -9.2726 22.4034 0.5
 -9.2476 22.4034 0.5
 -9.2226 22.4034 0.5
 -9.1976 22.4034 0.5
 -9.1726 22.4034 0.5
 -9.1476 22.4034 0.5
 -9.1226 22.4034 0.5
 -9.0976 22.4034 0.5
 -9.0726 22.4034 0.5
 -9.0476 22.4034 0.5
 -9.0226 22.4034 0.5
 -8.9976 22.4034 0.5
 -8.9726 22.4034 0.5
 -8.9476 22.4034 0.5
 -8.9226 22.4034 0.5
 -8.8976 22.4034 0.5
 -8.8726 22.4034 0.5
 -8.8476 22.4034 0.5
 -8.8226 22.4034 0.5
 -8.7976 22.4034 0.5
 -8.7726 22.4034 0.5
 -8.7476 22.4034 0.5
 -8.7226 22.4034 0.5
 -8.6976 22.4034 0.5
 -8.6726 22.4034 0.5
 -8.6476 22.4034 0.5
 -8.6226 22.4034 0.5
 -8.5976 22.4034 0.5
 -8.5726 22.4034 0.5
 -8.5476 22.4034 0.5
 -8.5226 22.4034 0.5
 -8.4976 22.4034 0.5
 -8.4726 22.4034 0.5
 -8.4476 22.4034 0.5
 -8.4226 22.4034 0.5
 -8.3976 22.4034 0.5
 -8.3726 22.4034 0.5
 -8.3476 22.4034 0.5
 -8.3226 22.4034 0.5
 -8.2976 22.4034 0.5
 -8.2726 22.4034 0.5
 -8.2476 22.4034 0.5
 -8.2226 22.4034 0.5
 -8.1976 22.4034 0.5
 -8.1726 22.4034 0.5
 -8.1476 22.4034 0.5
 -8.1226 22.4034 0.5
 -8.0976 22.4034 0.5
 -8.0726 22.4034 0.5
 -8.0476 22.4034 0.5
 -8.0226 22.4034 0.5
 -7.9976 22.4034 0.5
 -7.9726 22.4034 0.5
 -7.9476 22.4034 0.5
 -7.9226 22.4034 0.5
 -7.8976 22.4034 0.5
 -7.8726 22.4034 0.5
 -7.8476 22.4034 0.5
 -7.8226 22.4034 0.5
 -7.7976 22.4034 0.5
 -7.7726 22.4034 0.5
 -7.7476 22.4034 0.5
 -7.7226 22.4034 0.5
 -7.6976 22.4034 0.5
 -7.6726 22.4034 0.5
 -7.6476 22.4034 0.5
 -7.6226 22.4034 0.5
 -7.5976 22.4034 0.5
 -7.5726 22.4034 0.5
 -7.5476 22.4034 0.5
 -7.5226 22.4034 0.5
 -7.4976 22.4034 0.5
 -7.4726 22.4034 0.5
 -7.4476 22.4034 0.5
 -7.4226 22.4034 0.5
 -7.3976 22.4034 0.5
 -7.3726 22.4034 0.5
 -7.3476 22.4034 0.5
 -7.3226 22.4034 0.5
 -7.2976 22.4034 0.5
 -7.2726 22.4034 0.5
 -7.2476 22.4034 0.5
 -7.2226 22.4034 0.5
 -7.1976 22.4034 0.5
 -7.1726 22.4034 0.5
 -7.1476 22.4034 0.5
 -7.1226 22.4034 0.5
 -7.0976 22.4034 0.5
 -7.0726 22.4034 0.5
 -7.0476 22.4034 0.5
 -7.0226 22.4034 0.5
 -6.9976 22.4034 0.5
 -6.9726 22.4034 0.5
 -6.9476 22.4034 0.5
 -6.9226 22.4034 0.5
 -6.8976 22.4034 0.5
 -6.8726 22.4034 0.5
 -6.8476 22.4034 0.5
 -6.8226 22.4034 0.5
 -6.7976 22.4034 0.5
 -6.7726 22.4034 0.5
 -6.7476 22.4034 0.5
 -6.7226 22.4034 0.5
 -6.6976 22.4034 0.5
 -6.6726 22.4034 0.5
 -6.6476 22.4034 0.5
 -6.6226 22.4034 0.5
 -6.5976 22.4034 0.5
 -6.5726 22.4034 0.5
 -6.5476 22.4034 0.5
 -6.5226 22.4034 0.5
 -6.4976 22.4034 0.5
 -6.4726 22.4034 0.5
 -6.4476 22.4034 0.5
 -6.4226 22.4034 0.5
 -6.3976 22.4034 0.5
 -6.3726 22.4034 0.5
 -6.3476 22.4034 0.5
 -6.3226 22.4034 0.5
 -6.2976 22.4034 0.5
 -6.2726 22.4034 0.5
 -6.2476 22.4034 0.5
 -6.2226 22.4034 0.5
 -6.1976 22.4034 0.5
 -6.1726 22.4034 0.5
 -6.1476 22.4034 0.5
 -6.1226 22.4034 0.5
 -6.0976 22.4034 0.5
 -6.0726 22.4034 0.5
 -6.0476 22.4034 0.5
 -6.0226 22.4034 0.5
 -5.9976 22.4034 0.5
 -5.9726 22.4034 0.5
 -5.9476 22.4034 0.5
 -5.9226 22.4034 0.5
 -5.8976 22.4034 0.5
 -5.8726 22.4034 0.5
 -5.8476 22.4034 0.5
 -5.8226 22.4034 0.5
 -5.7976 22.4034 0.5
 -5.7726 22.4034 0.5
 -5.7476 22.4034 0.5
 -5.7226 22.4034 0.5
 -5.6976 22.4034 0.5
 -5.6726 22.4034 0.5
 -5.6476 22.4034 0.5
 -5.6226 22.4034 0.5
 -5.5976 22.4034 0.5
 -5.5726 22.4034 0.5
 -5.5476 22.4034 0.5
 -5.5226 22.4034 0.5
 -5.4976 22.4034 0.5
 -5.4726 22.4034 0.5
 -5.4476 22.4034 0.5
 -5.4226 22.4034 0.5
 -5.3976 22.4034 0.5
 -5.3726 22.4034 0.5
 -5.3476 22.4034 0.5
 -5.3226 22.4034 0.5
 -5.2976 22.4034 0.5
 -5.2726 22.4034 0.5
 -5.2476 22.4034 0.5
 -5.2226 22.4034 0.5
 -5.1976 22.4034 0.5
 -5.1726 22.4034 0.5
 -5.1476 22.4034 0.5
 -5.1226 22.4034 0.5
 -5.0976 22.4034 0.5
 -5.0726 22.4034 0.5
 -5.0476 22.4034 0.5
 -5.0226 22.4034 0.5
 -4.9976 22.4034 0.5
 -4.9726 22.4034 0.5
 -4.9476 22.4034 0.5
 -4.9226 22.4034 0.5
